text,label
"Huge pothole on the main road near the school, two bikes already fell","roads"
"Deep pothole in front of the bus stand causing accidents every day","roads"
"Road is damaged with large cracks and broken surface near the market","roads"
"The entire stretch of road near the hospital is full of potholes","roads"
"Road caved in after last night rain near the colony entrance","roads"
"Badly damaged speed breaker and broken road at the junction","roads"
"There is a big hole in the road near government school gate","roads"
"Street road has sunk and water collects there daily","roads"
"Highway divider tiles are broken and dangerous for two wheelers","roads"
"New road got damaged within a month, contractor quality very poor","roads"
"Sadak mein bada gadha hai school ke paas, do bike gir gayi","roads"
"Marg me barhi hui gadha accident ho raha hai roz","roads"
"No drinking water supply in our area since four days","water"
"Water pipeline leaked and street is flooded with muddy water","water"
"Water tanker not reaching our ward, people are buying expensive cans","water"
"Borewell water is contaminated and smells like sewage","water"
"Municipal water tap is broken and wasting thousands of litres daily","water"
"There is severe water shortage in the village, no supply for a week","water"
"Water supply line burst near the temple, whole lane under water","water"
"Pani nahi aa raha hai char din se hamare mohalle mein","water"
"Paani ki pipe toot gayi hai sadak par paani bhar gaya","water"
"Overhead tank is empty, entire locality without water since morning","water"
"Electricity pole is leaning dangerously over the playground","electricity"
"Live electric wire fell on the road after the storm","electricity"
"Frequent power cuts lasting eight hours every day in our block","electricity"
"Transformer is sparking and burnt smell is coming from it","electricity"
"Street transformer exploded, whole area without power since night","electricity"
"Loose electricity wires hanging low over the footpath","electricity"
"Bijli ka khamba tut gaya hai aur taar gir gaya hai sadak par","electricity"
"Meter box is open and wires are exposed, children play nearby","electricity"
"Garbage not collected from our street for ten days","garbage"
"Huge garbage dump near the school ground spreading bad smell","garbage"
"Waste bins overflowing and stray animals spreading trash everywhere","garbage"
"Construction debris dumped on the roadside blocking half the road","garbage"
"Household waste thrown near the pond polluting the water","garbage"
"Kachra uthaya nahi ja raha hai das din se gali se","garbage"
"Kachre ka dher padha hai school ke bagal mein badboo aa rahi hai","garbage"
"Market area garbage collection point is never cleaned","garbage"
"Drainage water overflowing onto the street near the clinic","drainage"
"Nali is blocked and dirty water entered three houses","drainage"
"Sewer line choked, manhole overflowing since two days","drainage"
"Open drain running through colony causing dengue mosquitoes","drainage"
"Rain water logging because drainage outlets are blocked","drainage"
"Naali jam hai gandaa paani sadak par aa raha hai","drainage"
"Sewer overflow in front of the health centre very unhygienic","drainage"
"Whole street drains are clogged with plastic waste","drainage"
"Street lights not working in our lane for two weeks","street_lighting"
"Dark stretch near the park, women feel unsafe at night","street_lighting"
"Broken tube light hanging from the pole near the bus stop","street_lighting"
"Half the street lights in ward number five are dead","street_lighting"
"No lighting near the school road, accidents possible at night","street_lighting"
"Batti nahi jal rahi hai do hafte se hamari gali mein","street_lighting"
"Lamp posts flickering and one fell during wind near the market","street_lighting"
"Health centre has no doctor available for three days","healthcare"
"Dispensary medicines out of stock, patients turned away","healthcare"
"No ambulance service responding in emergency at night","healthcare"
"Primary health centre closed every evening though area needs it","healthcare"
"Vaccination camp cancelled repeatedly in our village","healthcare"
"Dawai nahi mil raha hai aur doctor nahi aate hospital mein","healthcare"
"Hospital building toilets are broken and unusable for patients","healthcare"
"Government school building roof collapsed in one classroom","education"
"School has only two teachers for hundred students","education"
"Mid day meal kitchen is unhygienic and children got sick","education"
"Toilets in girls school are non functional since months","education"
"Anganwadi centre has no drinking water facility","education"
"School building walls cracked dangerously, classes held outside","education"
"Skool mein shikshak kam hai aur toilet kharab hai","education"
"Chain snatching reported twice near the railway station this week","public_safety"
"Stray dog pack attacking children near the playground","public_safety"
"No police patrolling in the market area at night","public_safety"
"Unattended suspicious bag near the crowded bus stop","public_safety"
"Cctv cameras at chowk are not working for months","public_safety"
"Gali mein raat ko lutere aate hain suraksha nahi hai","public_safety"
"Public toilet is extremely dirty and doors are broken","sanitation"
"Open defecation happening near the lake due to no toilets","sanitation"
"Safai workers not coming to our ward regularly","sanitation"
"Urinal near the station stinks and is always blocked","sanitation"
"Sewage mixing with drinking water line near the slum area","sanitation"
"Safai vyavastha bilkul nahi hai shauchalay gande hain","sanitation"
"Garbage sorting yard smoke burning all day causing pollution","sanitation"
"City bus service stopped on our route since two months","public_transport"
"Bus stop shelter completely broken, no seating or display","public_transport"
"Auto stand is unregulated, drivers overcharge passengers","public_transport"
"No buses after seven pm, office goers stranded daily","public_transport"
"Railway foot overbridge is corroded and unsafe","public_transport"
"Bus adda par shelter toota hua hai koi suvidha nahi","public_transport"
"Trees cut illegally near the lake bund","environment"
"Factory smoke and chemical smell in residential area at night","environment"
"Lake water turned black and fish dying every morning","environment"
"Noise pollution from loudspeakers till midnight daily","environment"
"Pond is filled with plastic and hyacinth, birds gone","environment"
"Ped kaat diye gaye jheel ke paas bina anumati ke","environment"
"Park equipment broken and grass not maintained anywhere","environment"
"Something else entirely which does not fit any listed category here","other"
"Request to install benches and shade near the market square","other"
"Community hall is locked whenever we need it for functions","other"
"Census related documents are stuck without any update","other"
"Stray cattle blocking traffic near the mandi road","other"
